Date,Value,,,Value
11-13-00,4627.5,,11-17-00,1367.98
11-06-00,4624.7,,11-10-00,1366.21
10-30-00,4612.8,,11-03-00,1426.66
10-23-00,4622.3,,10-27-00,1379.39
10-16-00,4626.6000000000004,,10-20-00,1396.79
10-09-00,4620.6000000000004,,10-13-00,1373.83
10-02-00,4614.2,,10-06-00,1408.41
09-25-00,4599.6000000000004,,09-29-00,1436.82
09-18-00,4607.5,,09-22-00,1448.37
09-11-00,4593,,09-15-00,1465.89
09-04-00,4580.2,,09-08-00,1493.89
08-28-00,4563,,09-01-00,1520.76
08-21-00,4553.3,,08-25-00,1506.72
08-14-00,4536.7,,08-18-00,1492.01
08-07-00,4537.8999999999996,,08-11-00,1471.34
07-31-00,4523.8999999999996,,08-04-00,1462.38
07-24-00,4518.3999999999996,,07-28-00,1419.75
07-17-00,4511.8,,07-21-00,1480.24
07-10-00,4509.8,,07-14-00,1509.38
07-03-00,4488.8999999999996,,07-07-00,1479.29
06-26-00,4477.5,,06-30-00,1454.38
06-19-00,4476.3,,06-23-00,1441.4
06-12-00,4478.3999999999996,,06-16-00,1464.5
06-05-00,4476.8999999999996,,06-09-00,1457.17
05-29-00,4463.1000000000004,,06-02-00,1476.89
05-22-00,4467.2,,05-26-00,1378.28
05-15-00,4464.8,,05-19-00,1406.62
05-08-00,4459.5,,05-12-00,1420.61
05-01-00,4472.1000000000004,,05-05-00,1432.07
04-24-00,4486,,04-28-00,1452.28
04-17-00,4481.3999999999996,,04-21-00,1433.92
04-10-00,4469.7,,04-14-00,1355.55
04-03-00,4449.6000000000004,,04-07-00,1516.53
03-27-00,4434.1000000000004,,03-31-00,1498.78
03-20-00,4426.6000000000004,,03-24-00,1527.93
03-13-00,4413.6000000000004,,03-17-00,1464.81
03-06-00,4398.5,,03-10-00,1395.38
02-28-00,4378.7,,03-03-00,1409.18
02-21-00,4381.3,,02-25-00,1333.69
02-14-00,4381,,02-18-00,1346.54
02-07-00,4391.8999999999996,,02-11-00,1387.34
01-31-00,4393.2,,02-04-00,1424.41
01-24-00,4384.7,,01-28-00,1360.58
01-17-00,4370.1000000000004,,01-21-00,1441.31
01-10-00,4377.8999999999996,,01-14-00,1465.15
01-03-00,4391.7,,01-07-00,1441.15
12-27-99,4356,,12-31-99,1469.3
12-20-99,4340.8,,12-24-99,1458.39
12-13-99,4325.1000000000004,,12-17-99,1421.51
12-06-99,4315.8999999999996,,12-10-99,1417.15
11-29-99,4301.5,,12-03-99,1432.8
11-22-99,4308.3,,11-26-99,1416.64
11-15-99,4306.8,,11-19-99,1421.73
11-08-99,4297.2,,11-12-99,1395.95
11-01-99,4295.2,,11-05-99,1370.47
10-25-99,4277.2,,10-29-99,1363.21
10-18-99,4268.3999999999996,,10-22-99,1301.54
10-11-99,4260.8999999999996,,10-15-99,1247.1400000000001
10-04-99,4251.3,,10-08-99,1335.67
09-27-99,4242.3999999999996,,10-01-99,1282.6500000000001
09-20-99,4240.7,,09-24-99,1277.2
09-13-99,4237.3,,09-17-99,1335.08
09-06-99,4234.3999999999996,,09-10-99,1351.33
08-30-99,4220.8999999999996,,09-03-99,1357.44
08-23-99,4230,,08-27-99,1348.6
08-16-99,4229,,08-20-99,1335.86
08-09-99,4225.3999999999996,,08-13-99,1327.69
08-02-99,4210.8,,08-06-99,1299.78
07-26-99,4206.1000000000004,,07-30-99,1328.65
07-19-99,4196.8,,07-23-99,1356.52
07-12-99,4201.7,,07-16-99,1418.27
07-05-99,4175.1000000000004,,07-09-99,1402.63
06-28-99,4177.8999999999996,,07-02-99,1390.73
06-21-99,4176.5,,06-25-99,1315.65
06-14-99,4171.1000000000004,,06-18-99,1342.77
06-07-99,4169.5,,06-11-99,1293.3499999999999
05-31-99,4163.2,,06-04-99,1326.19
05-24-99,4146.5,,05-28-99,1301.6199999999999
05-17-99,4146.1000000000004,,05-21-99,1329.96
05-10-99,4144,,05-14-99,1338
05-03-99,4121.2,,05-07-99,1344.95
04-26-99,4126.8,,04-30-99,1334.51
04-19-99,4123.6000000000004,,04-23-99,1356.84
04-12-99,4108,,04-16-99,1318.74
04-05-99,4091.5,,04-09-99,1347.97
03-29-99,4076.5,,04-02-99,1293.44
03-22-99,4068.7,,03-26-99,1283.32
03-15-99,4059.1,,03-19-99,1299.25
03-08-99,4064.9,,03-12-99,1294.29
03-01-99,4059.3,,03-05-99,1273.9100000000001
02-22-99,4068,,02-26-99,1237.5999999999999
02-15-99,4054.1,,02-19-99,1238.72
02-08-99,4055,,02-12-99,1230.5999999999999
02-01-99,4036.1,,02-05-99,1238.71
01-25-99,4020.1,,01-29-99,1279.1300000000001
01-18-99,4017,,01-22-99,1224.67
01-11-99,4005.9,,01-15-99,1242.73
01-04-99,3990.3,,01-08-99,1274.58
