Date,Value
1990-01-01,0.78
1990-02-01,0.75
1990-03-01,0.78
1990-04-01,0.67
1990-05-01,0.71
1990-06-01,0.78
1990-07-01,0.77
1990-08-01,0.66
1990-09-01,0.67
1990-10-01,0.81
1990-11-01,0.91
1990-12-01,0.97
1991-01-01,0.95
1991-02-01,0.98
1991-03-01,0.82
1991-04-01,0.82
1991-05-01,0.79
1991-06-01,0.73
1991-07-01,0.73
1991-08-01,0.85
1991-09-01,0.96
1991-10-01,1.02
1991-11-01,1.06
1991-12-01,1.22
1992-01-01,1.17
1992-02-01,0.95
1992-03-01,0.81
1992-04-01,0.85
1992-05-01,0.89
1992-06-01,0.96
1992-07-01,1.23
1992-08-01,1.36
1992-09-01,1.50
1992-10-01,1.40
1992-11-01,1.23
1992-12-01,1.21
1993-01-01,1.31
1993-02-01,1.45
1993-03-01,1.60
1993-04-01,1.49
1993-05-01,1.39
1993-06-01,1.37
1993-07-01,1.36
1993-08-01,1.17
1993-09-01,1.30
1993-10-01,1.34
1993-11-01,1.21
1993-12-01,1.16
1994-01-01,1.17
1994-02-01,1.11
1994-03-01,1.00
1994-04-01,0.91
1994-05-01,0.81
1994-06-01,0.87
1994-07-01,0.81
1994-08-01,0.83
1994-09-01,0.88
1994-10-01,0.83
1994-11-01,0.72
1994-12-01,0.65
1995-01-01,0.68
1995-02-01,0.79
1995-03-01,0.92
1995-04-01,0.97
1995-05-01,1.02
1995-06-01,1.13
1995-07-01,1.13
1995-08-01,1.08
1995-09-01,1.12
1995-10-01,1.08
1995-11-01,1.09
1995-12-01,1.11
1996-01-01,1.16
1996-02-01,1.18
1996-03-01,1.08
1996-04-01,0.99
1996-05-01,0.88
1996-06-01,0.80
1996-07-01,0.78
1996-08-01,0.82
1996-09-01,0.83
1996-10-01,0.86
1996-11-01,0.90
1996-12-01,0.90
1997-01-01,0.84
1997-02-01,0.89
1997-03-01,0.86
1997-04-01,0.84
1997-05-01,0.87
1997-06-01,0.92
1997-07-01,0.92
1997-08-01,0.92
1997-09-01,0.94
1997-10-01,0.97
1997-11-01,0.99
1997-12-01,0.95
1998-01-01,1.07
1998-02-01,1.10
1998-03-01,1.07
1998-04-01,1.05
1998-05-01,1.04
1998-06-01,1.03
1998-07-01,1.09
1998-08-01,1.18
1998-09-01,1.59
1998-10-01,1.84
1998-11-01,1.58
1998-12-01,1.57
1999-01-01,1.52
1999-02-01,1.40
1999-03-01,1.39
1999-04-01,1.46
1999-05-01,1.39
1999-06-01,1.33
1999-07-01,1.40
1999-08-01,1.46
1999-09-01,1.47
1999-10-01,1.44
1999-11-01,1.33
1999-12-01,1.27
2000-01-01,1.12
2000-02-01,1.16
2000-03-01,1.42
2000-04-01,1.65
2000-05-01,1.55
2000-06-01,1.57
2000-07-01,1.60
2000-08-01,1.72
2000-09-01,1.82
2000-10-01,1.81
2000-11-01,1.73
2000-12-01,1.97
2001-01-01,1.99
2001-02-01,2.00
2001-03-01,2.09
2001-04-01,2.06
2001-05-01,1.90
2001-06-01,1.90
2001-07-01,1.89
2001-08-01,2.05
2001-09-01,2.44
2001-10-01,2.46
2001-11-01,2.32
2001-12-01,1.68
2002-01-01,1.51
2002-02-01,1.60
2002-03-01,1.53
2002-04-01,1.55
2002-05-01,1.59
2002-06-01,1.70
2002-07-01,1.88
2002-08-01,2.11
2002-09-01,2.28
2002-10-01,2.38
2002-11-01,2.26
2002-12-01,2.18
2003-01-01,2.12
2003-02-01,2.05
2003-03-01,2.08
2003-04-01,1.78
2003-05-01,1.65
2003-06-01,1.64
2003-07-01,1.51
2003-08-01,1.43
2003-09-01,1.45
2003-10-01,1.41
2003-11-01,1.35
2003-12-01,1.35
2004-01-01,1.39
2004-02-01,1.42
2004-03-01,1.50
2004-04-01,1.38
2004-05-01,1.32
2004-06-01,1.28
2004-07-01,1.32
2004-08-01,1.37
2004-09-01,1.33
2004-10-01,1.37
2004-11-01,1.33
2004-12-01,1.24
2005-01-01,1.14
2005-02-01,1.03
2005-03-01,0.90
2005-04-01,0.99
2005-05-01,1.01
2005-06-01,0.96
2005-07-01,0.88
2005-08-01,0.83
2005-09-01,0.93
2005-10-01,0.89
2005-11-01,0.88
2005-12-01,0.90
2006-01-01,0.87
2006-02-01,0.78
2006-03-01,0.81
2006-04-01,0.85
2006-05-01,0.84
2006-06-01,0.78
2006-07-01,0.76
2006-08-01,0.80
2006-09-01,0.79
2006-10-01,0.78
2006-11-01,0.73
2006-12-01,0.76
2007-01-01,0.64
2007-02-01,0.67
2007-03-01,0.74
2007-04-01,0.78
2007-05-01,0.72
2007-06-01,0.69
2007-07-01,0.73
2007-08-01,1.12
2007-09-01,1.22
2007-10-01,1.13
2007-11-01,1.29
2007-12-01,1.39
2008-01-01,1.59
2008-02-01,1.79
2008-03-01,2.00
2008-04-01,1.87
2008-05-01,1.69
2008-06-01,1.58
2008-07-01,1.66
2008-08-01,1.75
2008-09-01,1.96
2008-10-01,2.47
2008-11-01,2.59
2008-12-01,2.63
2009-01-01,2.53
2009-02-01,2.40
2009-03-01,2.68
2009-04-01,2.46
2009-05-01,2.25
2009-06-01,1.89
