Date,Value
07-31-17,56.3
06-30-17,57.8
05-31-17,54.9
04-30-17,54.8
03-31-17,57.2
02-28-17,57.7
01-31-17,56
12-31-16,54.5
11-30-16,53.5
10-31-16,52
09-30-16,51.7
08-31-16,49.4
07-31-16,52.3
06-30-16,52.8
05-31-16,51
04-30-16,50.7
03-31-16,51.7
02-29-16,49.7
01-31-16,48.6
12-31-15,47.9
11-30-15,48.7
10-31-15,49.6
09-30-15,50.1
08-31-15,51
07-31-15,51.7
06-30-15,53
05-31-15,52.8
04-30-15,51.5
03-31-15,52.3
02-28-15,53.5
01-31-15,54.3
12-31-14,54.9
11-30-14,57.6
10-31-14,57.4
09-30-14,55.9
08-31-14,57.9
07-31-14,55.6
06-30-14,55.4
05-31-14,55.5
04-30-14,55.3
03-31-14,55
02-28-14,54.8
01-31-14,52.4
12-31-13,56
11-30-13,56.2
10-31-13,55.4
09-30-13,55.4
08-31-13,55.3
07-31-13,54
06-30-13,52.6
05-31-13,50
04-30-13,50.2
03-31-13,52.4
02-28-13,54.5
01-31-13,53.1
12-31-12,50
11-30-12,49
10-31-12,50.5
09-30-12,51.9
08-31-12,50.3
07-31-12,50
06-30-12,51.1
05-31-12,53.1
04-30-12,54
03-31-12,53.6
02-29-12,53.4
01-31-12,53.3
12-31-11,52.9
11-30-11,51.9
10-31-11,51.5
09-30-11,52.7
08-31-11,52.3
07-31-11,52.5
06-30-11,56.6
05-31-11,53.7
04-30-11,59.1
03-31-11,59.4
02-28-11,60
01-31-11,59.6
12-31-10,57.3
11-30-10,57.6
10-31-10,57.9
09-30-10,56.5
08-31-10,57.2
07-31-10,55.7
06-30-10,56
05-31-10,58.3
04-30-10,58.3
03-31-10,58.9
02-28-10,56.1
01-31-10,57.6
12-31-09,55.3
11-30-09,54.4
10-31-09,56
09-30-09,54.4
08-31-09,53.5
07-31-09,49.9
06-30-09,45.8
05-31-09,41.7
04-30-09,39.5
03-31-09,36
02-28-09,35.5
01-31-09,34.9
12-31-08,33.1
11-30-08,36.5
10-31-08,38.9
09-30-08,44.8
08-31-08,49.2
07-31-08,50
06-30-08,49.8
05-31-08,48.8
04-30-08,48.8
03-31-08,48.3
02-29-08,47.6
01-31-08,50.3
12-31-07,49
11-30-07,50.5
10-31-07,51.1
09-30-07,51
08-31-07,50.9
07-31-07,52.4
06-30-07,52.6
05-31-07,52.5
04-30-07,52.6
03-31-07,50.7
02-28-07,51.9
01-31-07,49.5
12-31-06,51.4
11-30-06,50.3
10-31-06,51.4
09-30-06,52.2
08-31-06,53.7
07-31-06,53
06-30-06,52
05-31-06,53.7
04-30-06,55.2
03-31-06,54.3
02-28-06,55.8
01-31-06,55
12-31-05,55.1
11-30-05,56.7
10-31-05,57.2
09-30-05,56.8
08-31-05,52.4
07-31-05,52.8
06-30-05,52.4
05-31-05,50.8
04-30-05,52.2
03-31-05,55.2
02-28-05,55.5
01-31-05,56.8
12-31-04,57.2
11-30-04,56.2
10-31-04,56.3
09-30-04,57.4
08-31-04,58.5
07-31-04,59.9
06-30-04,60.5
05-31-04,61.4
04-30-04,60.6
03-31-04,60.6
02-29-04,59.9
01-31-04,60.8
12-31-03,60.1
11-30-03,58.4
10-31-03,55.2
09-30-03,52.4
08-31-03,53.2
07-31-03,51
06-30-03,49
05-31-03,49
04-30-03,46.1
03-31-03,46.3
02-28-03,48.8
01-31-03,51.3
12-31-02,51.6
11-30-02,48.5
10-31-02,49
09-30-02,50.5
08-31-02,50.3
07-31-02,50.2
06-30-02,53.6
05-31-02,53.1
04-30-02,52.4
03-31-02,52.4
02-28-02,50.7
01-31-02,47.5
12-31-01,45.3
11-30-01,44.1
10-31-01,40.799999999999997
09-30-01,46.2
08-31-01,46.3
07-31-01,43.5
06-30-01,43.2
05-31-01,41.3
04-30-01,42.7
03-31-01,43.1
02-28-01,42.1
01-31-01,42.3
12-31-00,43.9
11-30-00,48.5
10-31-00,48.7
09-30-00,49.7
08-31-00,49.9
07-31-00,52.5
06-30-00,51.4
05-31-00,53.2
04-30-00,54.7
03-31-00,54.9
02-29-00,55.8
01-31-00,56.7
12-31-99,57.8
11-30-99,58.1
10-31-99,57.2
09-30-99,57
08-31-99,54.8
07-31-99,53.6
06-30-99,55.8
05-31-99,54.3
04-30-99,52.3
03-31-99,52.4
02-28-99,51.7
01-31-99,50.6
