Date,Value
07-31-17,378.79700000000003
06-30-17,377.09300000000002
05-31-17,376.75200000000001
04-30-17,377.61
03-31-17,376.56599999999997
02-28-17,375.61799999999999
01-31-17,375.13900000000001
12-31-16,371.09399999999999
11-30-16,370.08
10-31-16,369.27600000000001
09-30-16,367.29700000000003
08-31-16,364.36
07-31-16,364.76100000000002
06-30-16,367.28699999999998
05-31-16,362.976
04-30-16,361.26400000000001
03-31-16,359.13400000000001
02-29-16,357.56799999999998
01-31-16,355.83
12-31-15,359.50700000000001
11-30-15,357.18599999999998
10-31-15,356.00099999999998
09-30-15,356.46600000000001
08-31-15,357.50200000000001
07-31-15,357.86099999999999
06-30-15,354.58
05-31-15,354.36200000000002
04-30-15,351.59199999999998
03-31-15,351.83600000000001
02-28-15,347.96300000000002
01-31-15,347.72500000000002
12-31-14,352.036
11-30-14,354.62700000000001
10-31-14,353.97800000000001
09-30-14,352.66
08-31-14,352.721
07-31-14,349.91300000000001
06-30-14,349.601
05-31-14,348.81700000000001
04-30-14,348.411
03-31-14,345.70600000000002
02-28-14,343.36500000000001
01-31-14,340.00900000000001
12-31-13,341.80700000000002
11-30-13,339.19900000000001
10-31-13,338.65199999999999
09-30-13,337.82799999999997
08-31-13,336.39600000000002
07-31-13,336.73099999999999
06-30-13,334.66399999999999
05-31-13,334.76799999999997
04-30-13,334.34300000000002
03-31-13,335.96300000000002
02-28-13,338.13799999999998
01-31-13,334.54599999999999
12-31-12,332.39299999999997
11-30-12,331.61
10-31-12,331.03899999999999
09-30-12,330.40300000000002
08-31-12,328.11500000000001
07-31-12,324.41899999999998
06-30-12,323.10500000000002
05-31-12,325.88299999999998
04-30-12,327.20800000000003
03-31-12,329.03199999999998
02-29-12,327.50599999999997
01-31-12,323.76799999999997
12-31-11,320.20100000000002
11-30-11,321.416
10-31-11,320.47399999999999
09-30-11,318.63900000000001
08-31-11,317.983
07-31-11,316.459
06-30-11,316.43400000000003
05-31-11,314.48
04-30-11,313.779
03-31-11,310.98899999999998
02-28-11,307.65300000000002
01-31-11,305.66399999999999
12-31-10,303.99099999999999
11-30-10,301.81700000000001
10-31-10,298.839
09-30-10,296.25200000000001
08-31-10,294.03399999999999
07-31-10,291.97399999999999
06-30-10,292.38499999999999
05-31-10,292.58999999999997
04-30-10,295.29500000000002
03-31-10,293.53699999999998
02-28-10,290.96699999999998
01-31-10,289.30900000000003
12-31-09,289.27600000000001
11-30-09,287.20600000000002
10-31-09,285.06200000000001
09-30-09,284.87200000000001
08-31-09,284.37099999999998
07-31-09,282.50799999999998
06-30-09,282.892
05-31-09,280.14800000000002
04-30-09,277.85899999999998
03-31-09,276.84699999999998
02-28-09,281.52499999999998
01-31-09,281.07600000000002
12-31-08,278.108
11-30-08,284.815
10-31-08,296.16899999999998
09-30-08,303.88200000000001
08-31-08,307.07499999999999
07-31-08,310.56900000000002
06-30-08,309.267
05-31-08,306.65699999999998
04-30-08,303.024
03-31-08,300.86
02-29-08,299.459
01-31-08,301.48700000000002
12-31-07,301.827
11-30-07,302.56700000000001
10-31-07,297.50099999999998
09-30-07,295.84100000000001
08-31-07,294.47000000000003
07-31-07,294.58
06-30-07,293.20499999999998
05-31-07,293.827
04-30-07,290.07499999999999
03-31-07,291.892
02-28-07,288.24900000000002
01-31-07,288.029
12-31-06,288.75900000000001
11-30-06,283.22399999999999
10-31-06,282.94600000000003
09-30-06,284.03899999999999
08-31-06,285.46800000000002
07-31-06,283.11200000000002
06-30-06,282.39100000000002
05-31-06,282.43200000000002
04-30-06,282.77699999999999
03-31-06,281.23399999999998
02-28-06,280.62700000000001
01-31-06,280.52699999999999
12-31-05,274.19400000000002
11-30-05,274.02800000000002
10-31-05,276.37099999999998
09-30-05,273.084
08-31-05,269.30700000000002
07-31-05,265.00900000000001
06-30-05,264.45400000000001
05-31-05,261.24099999999999
04-30-05,263.214
03-31-05,259.31400000000002
02-28-05,259.20699999999999
01-31-05,256.70600000000002
12-31-04,256.49
11-30-04,254.43
10-31-04,252.822
09-30-04,249.87799999999999
08-31-04,247.58
07-31-04,247.29400000000001
06-30-04,245.98
05-31-04,246.14099999999999
04-30-04,243.571
03-31-04,244.798
02-29-04,240.334
01-31-04,239.95500000000001
12-31-03,237.25899999999999
11-30-03,236.81299999999999
10-31-03,235.00700000000001
09-30-03,234.732
08-31-03,234.82599999999999
07-31-03,231.739
06-30-03,229.33699999999999
05-31-03,226.73500000000001
04-30-03,226.06299999999999
03-31-03,227.71899999999999
02-28-03,224.643
01-31-03,225.62100000000001
12-31-02,224.02500000000001
11-30-02,223.54400000000001
10-31-02,222.08099999999999
09-30-02,220.36799999999999
08-31-02,220.37799999999999
07-31-02,220.483
06-30-02,220.047
05-31-02,219.93199999999999
04-30-02,220.56899999999999
03-31-02,217.69300000000001
02-28-02,216.893
01-31-02,215.91200000000001
12-31-01,215.488
11-30-01,214.547
10-31-01,214.15799999999999
09-30-01,212.166
08-31-01,215.07300000000001
07-31-01,213.45500000000001
06-30-01,213.68899999999999
05-31-01,214.501
04-30-01,213.87100000000001
03-31-01,210.797
02-28-01,212.61099999999999
01-31-01,212.99
12-31-00,212.21199999999999
11-30-00,211.27799999999999
10-31-00,210.76499999999999
09-30-00,210.673
08-31-00,207.63200000000001
07-31-00,207.43299999999999
06-30-00,206.80199999999999
05-31-00,205.637
04-30-00,205.19200000000001
03-31-00,206.78100000000001
02-29-00,202.935
01-31-00,200.41200000000001
12-31-99,203.96700000000001
11-30-99,198.614
10-31-99,197.30600000000001
09-30-99,196.202
08-31-99,194.54
