Date,Value
07-31-17,1223
06-30-17,1275
05-31-17,1168
04-30-17,1228
03-31-17,1260
02-28-17,1219
01-31-17,1300
12-31-16,1266
11-30-16,1255
10-31-16,1285
09-30-16,1270
08-31-16,1200
07-31-16,1175
06-30-16,1193
05-31-16,1178
04-30-16,1163
03-31-16,1115
02-29-16,1195
01-31-16,1193
12-31-15,1218
11-30-15,1267
10-31-15,1166
09-30-15,1125
08-31-15,1159
07-31-15,1134
06-30-15,1363
05-31-15,1255
04-30-15,1178
03-31-15,1079
02-28-15,1127
01-31-15,1069
12-31-14,1070
11-30-14,1073
10-31-14,1123
09-30-14,1062
08-31-14,1045
07-31-14,1053
06-30-14,1015
05-31-14,1007
04-30-14,1080
03-31-14,1078
02-28-14,1032
01-31-14,1001
12-31-13,1013
11-30-13,1042
10-31-13,1031
09-30-13,1015
08-31-13,947
07-31-13,986
06-30-13,951
05-31-13,1016
04-30-13,1015
03-31-13,932
02-28-13,971
01-31-13,928
12-31-12,938
11-30-12,930
10-31-12,895
09-30-12,921
08-31-12,832
07-31-12,840
06-30-12,790
05-31-12,807
04-30-12,747
03-31-12,797
02-29-12,733
01-31-12,715
12-31-11,697
11-30-11,706
10-31-11,671
09-30-11,610
08-31-11,647
07-31-11,621
06-30-11,636
05-31-11,618
04-30-11,581
03-31-11,583
02-28-11,542
01-31-11,576
12-31-10,632
11-30-10,560
10-31-10,558
09-30-10,563
08-31-10,580
07-31-10,579
06-30-10,587
05-31-10,575
04-30-10,637
03-31-10,687
02-28-10,650
01-31-10,636
12-31-09,664
11-30-09,623
10-31-09,583
09-30-09,609
08-31-09,616
07-31-09,595
06-30-09,601
05-31-09,556
04-30-09,521
03-31-09,513
02-28-09,558
01-31-09,545
12-31-08,554
11-30-08,626
10-31-08,736
09-30-08,797
08-31-08,858
07-31-08,921
06-30-08,1180
05-31-08,995
04-30-08,1008
03-31-08,967
02-29-08,1014
01-31-08,1094
12-31-07,1149
11-30-07,1224
10-31-07,1192
09-30-07,1261
08-31-07,1321
07-31-07,1361
06-30-07,1407
05-31-07,1493
04-30-07,1470
03-31-07,1596
02-28-07,1598
01-31-07,1626
12-31-06,1638
11-30-06,1535
10-31-06,1570
09-30-06,1655
08-31-06,1722
07-31-06,1763
06-30-06,1867
05-31-06,1905
04-30-06,1998
03-31-06,2118
02-28-06,2141
01-31-06,2212
12-31-05,2120
11-30-05,2218
10-31-05,2170
09-30-05,2263
08-31-05,2219
07-31-05,2203
06-30-05,2178
05-31-05,2085
04-30-05,2150
03-31-05,2062
02-28-05,2114
01-31-05,2139
12-31-04,2082
11-30-04,2079
10-31-04,2097
09-30-04,2041
08-31-04,2056
07-31-04,2112
06-30-04,2020
05-31-04,2150
04-30-04,2070
03-31-04,2066
02-29-04,1966
01-31-04,1952
12-31-03,1987
11-30-03,1918
10-31-03,2012
09-30-03,1961
08-31-03,1966
07-31-03,1885
06-30-03,1875
05-31-03,1835
04-30-03,1803
03-31-03,1757
02-28-03,1854
01-31-03,1808
12-31-02,1896
11-30-02,1771
10-31-02,1799
09-30-02,1803
08-31-02,1695
07-31-02,1738
06-30-02,1758
05-31-02,1716
04-30-02,1669
03-31-02,1691
02-28-02,1787
01-31-02,1665
12-31-01,1680
11-30-01,1651
10-31-01,1566
09-30-01,1565
08-31-01,1615
07-31-01,1598
06-30-01,1626
05-31-01,1665
04-30-01,1666
03-31-01,1659
02-28-01,1656
01-31-01,1699
12-31-00,1543
11-30-00,1614
10-31-00,1577
09-30-00,1570
08-31-00,1552
07-31-00,1542
06-30-00,1572
05-31-00,1543
04-30-00,1597
03-31-00,1651
02-29-00,1692
01-31-00,1727
12-31-99,1683
11-30-99,1672
10-31-99,1649
09-30-99,1551
08-31-99,1671
07-31-99,1682
06-30-99,1702
05-31-99,1640
04-30-99,1600
03-31-99,1665
02-28-99,1720
01-31-99,1732
