Date,Value
08-21-17,
08-17-17,-0.66
08-16-17,-0.68
08-15-17,-0.68
08-14-17,-0.68
08-11-17,-0.68
08-10-17,-0.69
08-09-17,-0.7
08-08-17,-0.68
08-07-17,-0.67
08-04-17,-0.67
08-03-17,-0.69
08-02-17,-0.69
08-01-17,-0.68
07-31-17,-0.68
07-28-17,-0.67
07-27-17,-0.68
07-26-17,-0.68
07-25-17,-0.69
07-24-17,-0.71
07-21-17,-0.68
07-20-17,-0.69
07-19-17,-0.69
07-18-17,-0.7
07-17-17,-0.71
07-14-17,-0.71
07-13-17,-0.69
07-12-17,-0.7
07-11-17,-0.71
07-10-17,-0.68
07-07-17,-0.68
07-06-17,-0.69
07-05-17,-0.69
07-03-17,-0.7
06-30-17,-0.69
06-29-17,-0.7
06-28-17,-0.7
06-27-17,-0.71
06-26-17,-0.71
06-23-17,-0.7
06-22-17,-0.71
06-21-17,-0.71
06-20-17,-0.71
06-19-17,-0.69
06-16-17,-0.68
06-15-17,-0.67
06-14-17,-0.68
06-13-17,-0.66
06-12-17,-0.67
06-09-17,-0.68
06-08-17,-0.68
06-07-17,-0.68
06-06-17,-0.7
06-05-17,-0.7
06-02-17,-0.69
06-01-17,-0.69
05-31-17,-0.69
05-30-17,-0.68
05-26-17,-0.68
05-25-17,-0.67
05-24-17,-0.68
05-23-17,-0.67
05-22-17,-0.68
05-19-17,-0.69
05-18-17,-0.71
05-17-17,-0.71
05-16-17,-0.72
05-15-17,-0.72
05-12-17,-0.72
05-11-17,-0.71
05-10-17,-0.69
05-09-17,-0.7
05-08-17,-0.7
05-05-17,-0.7
05-04-17,-0.72
05-03-17,-0.71
05-02-17,-0.71
05-01-17,-0.7
04-28-17,-0.72
04-27-17,-0.71
04-26-17,-0.71
04-25-17,-0.72
04-24-17,-0.71
04-21-17,-0.7
04-20-17,-0.7
04-19-17,-0.7
04-18-17,-0.7
04-17-17,-0.69
04-13-17,-0.69
04-12-17,-0.71
04-11-17,-0.71
04-10-17,-0.7
04-07-17,-0.69
04-06-17,-0.69
04-05-17,-0.69
04-04-17,-0.69
04-03-17,-0.7
03-31-17,-0.7
03-30-17,-0.71
03-29-17,-0.7
03-28-17,-0.69
03-27-17,-0.69
03-24-17,-0.68
03-23-17,-0.68
