Date,Value
07-31-17,62
06-30-17,55
05-31-17,60.5
04-30-17,68.5
03-31-17,70.5
02-28-17,68
01-31-17,69
12-31-16,65.5
11-30-16,54.5
10-31-16,54.5
09-30-16,53
08-31-16,53
07-31-16,55
06-30-16,60.5
05-31-16,63.5
04-30-16,59
03-31-16,51.5
02-29-16,38.5
01-31-16,33.5
12-31-15,33.5
11-30-15,35.5
10-31-15,39
09-30-15,38
08-31-15,39
07-31-15,44
06-30-15,49.5
05-31-15,49.5
04-30-15,40.5
03-31-15,39
02-28-15,35
01-31-15,35
12-31-14,38.5
11-30-14,44.5
10-31-14,53.5
09-30-14,59.5
08-31-14,58
07-31-14,59.5
06-30-14,58
05-31-14,60
04-30-14,56.5
03-31-14,59
02-28-14,60
01-31-14,60.5
12-31-13,53.5
11-30-13,52.5
10-31-13,55.5
09-30-13,56.5
08-31-13,54
07-31-13,49
06-30-13,52.5
05-31-13,49.5
04-30-13,50
03-31-13,54.5
02-28-13,61.5
01-31-13,56.5
12-31-12,55.5
11-30-12,52.5
10-31-12,55
09-30-12,58
08-31-12,54
07-31-12,39.5
06-30-12,37
05-31-12,47.5
04-30-12,61
03-31-12,61
02-29-12,61.5
01-31-12,55.5
12-31-11,47.5
11-30-11,45
10-31-11,41
09-30-11,56
08-31-11,55.5
07-31-11,59
06-30-11,68
05-31-11,76.5
04-30-11,85.5
03-31-11,85
02-28-11,82
01-31-11,81.5
12-31-10,72.5
11-30-10,69.5
10-31-10,71
09-30-10,70.5
08-31-10,61.5
07-31-10,57.5
06-30-10,57
05-31-10,77.5
04-30-10,78
03-31-10,75
02-28-10,67
01-31-10,70
12-31-09,61.5
11-30-09,55
10-31-09,65
09-30-09,63.5
08-31-09,65
07-31-09,55
06-30-09,50
05-31-09,43.5
04-30-09,32
03-31-09,31
02-28-09,29
01-31-09,29
12-31-08,18
11-30-08,25.5
10-31-08,37
09-30-08,53.5
08-31-08,77
07-31-08,88.5
06-30-08,91.5
05-31-08,87
04-30-08,84.5
03-31-08,83.5
02-29-08,75.5
01-31-08,76
12-31-07,68
11-30-07,67.5
10-31-07,63
09-30-07,59
08-31-07,63
07-31-07,65
06-30-07,68
05-31-07,71
04-30-07,73
03-31-07,65.5
02-28-07,59
01-31-07,53
12-31-06,47.5
11-30-06,53.5
10-31-06,47
09-30-06,61
08-31-06,73
07-31-06,78.5
06-30-06,76.5
05-31-06,77
04-30-06,71.5
03-31-06,66.5
02-28-06,62.5
01-31-06,65
12-31-05,63
11-30-05,74
10-31-05,84
09-30-05,78
08-31-05,62.5
07-31-05,48.5
06-30-05,50.5
05-31-05,58
04-30-05,71
03-31-05,73
02-28-05,65.5
01-31-05,69
12-31-04,72
11-30-04,74
10-31-04,78.5
09-30-04,76
08-31-04,81.5
07-31-04,77
06-30-04,81
05-31-04,86
04-30-04,88
03-31-04,86
02-29-04,81.5
01-31-04,75.5
12-31-03,66
11-30-03,64
10-31-03,58.5
09-30-03,56
08-31-03,53
07-31-03,53
06-30-03,56.5
05-31-03,51.5
04-30-03,63.5
03-31-03,70
02-28-03,65.5
01-31-03,57.5
12-31-02,56.9
11-30-02,55.7
10-31-02,58.3
09-30-02,62.5
08-31-02,61.5
07-31-02,68.3
06-30-02,65.5
05-31-02,63
04-30-02,60.3
03-31-02,51.9
02-28-02,41.5
01-31-02,43.9
12-31-01,33.200000000000003
11-30-01,32
10-31-01,33.299999999999997
09-30-01,36.6
08-31-01,35
07-31-01,39.9
06-30-01,42.8
05-31-01,45.1
04-30-01,48
03-31-01,49.9
02-28-01,55.6
01-31-01,64.599999999999994
12-31-00,59.8
11-30-00,58.1
10-31-00,57.7
09-30-00,58.4
08-31-00,58.1
07-31-00,63.4
06-30-00,62.9
05-31-00,65.7
04-30-00,71.2
03-31-00,78.7
02-29-00,71.599999999999994
01-31-00,72.400000000000006
12-31-99,67.400000000000006
11-30-99,68.099999999999994
10-31-99,68.8
09-30-99,65.8
08-31-99,60.6
07-31-99,55.5
06-30-99,54.2
05-31-99,51.2
04-30-99,47.4
03-31-99,42.5
02-28-99,35.200000000000003
01-31-99,33.700000000000003
