Date,Open,High,Low,Value
08-16-17,736.88,739.96,736.31,739.93
08-15-17,733.22,738.42,732.24,737.55
08-14-17,730.83,735.02,729.76,734.26
08-11-17,734.45,734.75,728.19,730.45
08-10-17,732.78,736.57,730.48,734.65
08-09-17,737.43,737.43,731.94,732.89
08-08-17,732.73,735.86,731.37,735.68
08-07-17,731.75,733.71,729.91,733.59
08-04-17,732.16,733.12,727.98,731.87
08-03-17,731.15,734.17,728.38,734.11
08-02-17,727.03,732.13,722.95,731.93
08-01-17,726.96,730.58,726.44,728.85
07-31-17,723.89,728.03,722.29,726.48
07-28-17,722.97,726.1,720.05,724.06
07-27-17,721.43,724.04,719.58,723.65
07-26-17,715.64,722.68,714.34,722.59
07-25-17,719.17,719.46,714.49,715.86
07-24-17,725.35,725.47,718.2,719.02
07-21-17,719.24,725.58,717.91,725.48
07-20-17,715.78,720.62,715.39,719.81
07-19-17,712.57,715.1,711.1,714.71
07-18-17,710.8,712.93,710.26,711.78
07-17-17,707.53,710.35,706.34,710.11
07-14-17,706.27,710.77,706.27,707.35
07-13-17,705.02,707.8,703.12,703.35
07-12-17,706.47,708.77,705.32,705.49
07-11-17,701.95,702.74,697.88,701.24
07-10-17,702.68,705.71,701.36,701.43
07-07-17,700.41,705.19,700.09,702.04
07-06-17,700.06,701.43,697.76,700.44
07-05-17,703.51,704.27,698.86,700.94
07-03-17,708.55,709.89,703.04,703.36
06-30-17,707.98,712.24,706.9,706.91
06-29-17,710.73,710.73,704.53,707.39
06-28-17,722.16,723.26,712.67,713.31
06-27-17,728.17,729.16,719.54,720.66
06-26-17,725.92,734.65,724.86,730.57
06-23-17,727.24,730.95,724.05,725.27
06-22-17,729.4,732.31,727.15,727.44
06-21-17,734.54,735.44,726.85,729.86
06-20-17,734.63,735.78,733.71,734.68
06-19-17,737.68,738.26,732.21,734.44
06-16-17,734.83,738.82,734.81,737.51
06-15-17,728.89,734.78,727.54,734.3
06-14-17,728.61,732.73,726.7,729.4
06-13-17,722.32,724.81,720.05,723.94
06-12-17,724.75,728.11,718.89,722.9
06-09-17,723.52,725.1,719.4,724.85
06-08-17,730.12,730.29,720.29,724.77
06-07-17,728.19,732.19,727.26,730.87
06-06-17,730.83,731.64,727.6,728.11
06-05-17,732.16,732.36,729.01,729.26
06-02-17,734.45,735.86,730.59,732.63
06-01-17,726.3,732.06,723.68,732.06
05-31-17,722.35,728.98,722.35,726.62
05-30-17,720.08,724.28,718.76,722.73
05-26-17,720.48,721.69,719.06,720.22
05-25-17,715.25,721.32,713.82,720.3
05-24-17,711.15,715.84,711.15,715.12
05-23-17,709.22,714.86,708.93,710.54
05-22-17,702.4,710.32,701.83,709.21
05-19-17,701.1,703.28,696.17,703.27
05-18-17,699.26,704.49,694.69,700.7
05-17-17,696.91,701.41,694.95,698.24
05-16-17,702.58,703.74,697.1,697.21
05-15-17,699.97,703.75,698.92,702.48
05-12-17,697.31,701.98,696.92,700.29
05-11-17,695.32,696.85,691.4,696.8
05-10-17,696.44,698.83,693.38,696.9
05-09-17,700.76,701.54,695.11,695.93
05-08-17,702.49,703.76,698.79,702.22
05-05-17,700.81,705.26,700.81,703.02
05-04-17,695.75,699.53,694.91,698.97
05-03-17,700.86,701.41,697.14,697.54
05-02-17,701.66,704.05,698.36,701.68
05-01-17,705.17,705.54,698.74,699.58
04-28-17,707.27,707.99,702.18,704.35
04-27-17,705.41,711.47,704.99,707.58
04-26-17,707.8,710.75,704.94,705.17
04-25-17,707.43,709.4,704.46,708.42
04-24-17,706.41,709.7,701.79,709.03
04-21-17,700.91,708.11,700.74,706.01
04-20-17,702.91,702.97,696,701.2
04-19-17,707.33,707.33,701.6,703.98
04-18-17,706.06,709.11,704.96,707.8
04-17-17,704,706.34,702.94,706.17
04-13-17,704.96,706.61,700.23,703.15
04-12-17,698.6,705.64,697.01,705.35
04-11-17,699.85,701.54,695.74,700.34
04-10-17,699.53,701.38,696.06,700.52
04-07-17,703.89,706.06,698.98,699.22
04-06-17,703.02,703.63,699.99,703.03
04-05-17,699.38,704.93,697.4,704.17
04-04-17,697.11,702.13,695.43,699.89
04-03-17,696.69,697.62,691.11,697.51
03-31-17,695.02,700.67,694.79,697.28
03-30-17,698.35,698.35,692.65,695.07
03-29-17,701.38,702.22,697.35,699.88
03-28-17,701.31,703.85,699.68,703.36
03-27-17,707.51,710,700.02,702.45
03-24-17,702.57,707.95,701.96,705.95
03-23-17,704.26,708.85,700.83,702.75
03-22-17,703.38,708.77,702.24,704.62
03-21-17,691.9,703.58,691.61,701.16
03-20-17,697.91,699.3,689.81,691.69
03-17-17,693.43,700.34,693.42,696.64
03-16-17,700.37,700.37,691.41,693.01
03-15-17,692.93,704.98,691.37,701.84
03-14-17,690.95,692.76,688.67,690.95
03-13-17,689.65,692.24,688.57,691.63
03-10-17,686.61,690.77,685.17,689.87
03-09-17,686.18,688.97,683.44,683.68
03-08-17,690.93,690.93,684.25,685.75
03-07-17,696.1,698.12,695.07,695.94
03-06-17,698.15,698.37,694.74,696.49
03-03-17,701.17,701.27,693.06,698.5
03-02-17,694.44,705.23,692.43,701.12
03-01-17,697.83,700.73,691.43,695.53
02-28-17,694.9,704.96,694.22,703.16
02-27-17,699.17,699.17,694.57,696
02-24-17,690.95,699.49,690.39,699.49
02-23-17,684.18,690.76,683.17,689.16
02-22-17,679.92,683.21,676.02,682.22
02-21-17,671.37,680.76,668.93,679.8
02-17-17,671.44,672.65,667.48,672.16
02-16-17,665.57,670.89,664.96,670.89
02-15-17,663.12,664.42,659.07,664.4
02-14-17,669.94,670.32,663.62,667.37
02-13-17,669.31,671.88,666.8,671.6
02-10-17,663.84,670.05,662.77,669.68
02-09-17,668.88,670.94,662.79,664.72
02-08-17,663.21,670.74,663.12,669.99
02-07-17,661.77,663.82,660.33,663.13
02-06-17,663.61,665.01,660.45,661.5
02-03-17,661.71,664.37,660.61,662.07
