Date,Value
06-30-17,100.23
03-31-17,100.15
12-31-16,100.18
09-30-16,100.02
06-30-16,99.91
03-31-16,99.96
12-31-15,99.9
09-30-15,99.86
06-30-15,99.87
03-31-15,99.7
12-31-14,99.34
09-30-14,99.19
06-30-14,99.12
03-31-14,98.9
12-31-13,98.77
09-30-13,98.66
06-30-13,98.68
03-31-13,98.63
12-31-12,98.5
09-30-12,98.59
06-30-12,98.65
03-31-12,98.46
12-31-11,98.54
09-30-11,98.43
06-30-11,98.23
03-31-11,97.97
12-31-10,97.36
09-30-10,97.07
06-30-10,96.91
03-31-10,97.09
12-31-09,97.47
09-30-09,97.9
06-30-09,98.46
03-31-09,99.18
12-31-08,100.08
09-30-08,100.52
06-30-08,100.87
03-31-08,100.86
12-31-07,100.74
09-30-07,100.75
06-30-07,100.65
03-31-07,100.59
12-31-06,100.57
09-30-06,100.75
06-30-06,100.5
03-31-06,100.09
12-31-05,99.99
09-30-05,99.74
06-30-05,99.59
03-31-05,99.29
12-31-04,99.06
09-30-04,98.75
06-30-04,98.56
03-31-04,98.65
12-31-03,98.75
09-30-03,98.87
06-30-03,98.89
03-31-03,98.86
12-31-02,98.86
09-30-02,98.98
06-30-02,99.04
03-31-02,99.41
12-31-01,99.68
09-30-01,100.26
06-30-01,100.46
03-31-01,100.59
12-31-00,100.81
09-30-00,100.77
06-30-00,100.79
03-31-00,100.53
12-31-99,100.44
09-30-99,100.5
06-30-99,100.39
03-31-99,100.25
