Date,Value
07-31-17,1.5
06-30-17,1.5
05-31-17,2.2999999999999998
04-30-17,3.6
03-31-17,4.0999999999999996
02-28-17,4.7
01-31-17,3.8
12-31-16,1.9
11-30-16,0.2
10-31-16,-0.2
09-30-16,-1.1000000000000001
08-31-16,-2.2000000000000002
07-31-16,-3.7
06-30-16,-4.7
05-31-16,-5.2
04-30-16,-5.3
03-31-16,-6.1
02-29-16,-6.6
01-31-16,-6.5
12-31-15,-8.3000000000000007
11-30-15,-9.5
10-31-15,-10.7
09-30-15,-11.6
08-31-15,-11.4
07-31-15,-10.5
06-30-15,-9.9
05-31-15,-9.6999999999999993
04-30-15,-10.5
03-31-15,-10.8
02-28-15,-10.199999999999999
01-31-15,-8.9
12-31-14,-5.6
11-30-14,-3.1
10-31-14,-2.1
09-30-14,-1.4
08-31-14,-0.3
07-31-14,0.9
06-30-14,1.2
05-31-14,0.5
04-30-14,-0.4
03-31-14,-0.5
02-28-14,-1.1000000000000001
01-31-14,-1.3
12-31-13,-1.1000000000000001
11-30-13,-1.8
10-31-13,-1.6
09-30-13,-0.7
08-31-13,0
07-31-13,0.9
06-30-13,0.1
05-31-13,-1.8
04-30-13,-2.7
03-31-13,-2.1
02-28-13,-0.6
01-31-13,-1.5
12-31-12,-2
11-30-12,-1.4
10-31-12,0
09-30-12,-0.6
08-31-12,-1.8
07-31-12,-3.3
06-30-12,-2.5
05-31-12,-0.8
04-30-12,0.8
03-31-12,3.5
02-29-12,5.0999999999999996
01-31-12,6.9
12-31-11,8.5
11-30-11,10.1
10-31-11,11.1
09-30-11,12.7
08-31-11,12.9
07-31-11,13.7
06-30-11,13.6
05-31-11,12.9
04-30-11,11.9
03-31-11,10.3
02-28-11,7.6
01-31-11,5.6
12-31-10,5.3
11-30-10,4.0999999999999996
10-31-10,3.9
09-30-10,3.6
08-31-10,3.8
07-31-10,4.9000000000000004
06-30-10,4.3
05-31-10,8.5
04-30-10,11.2
03-31-10,11.2
02-28-10,11.3
01-31-10,11.4
12-31-09,8.6
11-30-09,3.4
10-31-09,-5.6
09-30-09,-12
08-31-09,-15.3
07-31-09,-19.100000000000001
06-30-09,-17.5
05-31-09,-17.3
04-30-09,-16.399999999999999
03-31-09,-14.9
02-28-09,-12.7
01-31-09,-12.5
12-31-08,-10.1
11-30-08,-5.9
10-31-08,4.9000000000000004
09-30-08,13.1
08-31-08,18.100000000000001
07-31-08,21.4
06-30-08,21.3
05-31-08,19.100000000000001
04-30-08,16.899999999999999
03-31-08,15.2
02-29-08,13.5
01-31-08,13.6
12-31-07,10.6
11-30-07,12
10-31-07,9.1
09-30-07,4.8
08-31-07,1.9
07-31-07,2.8
06-30-07,2.2999999999999998
05-31-07,1.2
04-30-07,2.1
03-31-07,2.8
02-28-07,1.2
01-31-07,0
12-31-06,2.5
11-30-06,1.3
10-31-06,-1
09-30-06,1.6
08-31-06,6
07-31-06,7
06-30-06,7.4
05-31-06,8.6
04-30-06,5.8
03-31-06,4.5
02-28-06,6.9
01-31-06,8.6999999999999993
12-31-05,8
11-30-05,6.4
10-31-05,8.1999999999999993
09-30-05,9.9
08-31-05,8.1999999999999993
07-31-05,8.1999999999999993
06-30-05,7.4
05-31-05,5.9
04-30-05,8.4
03-31-05,7.6
02-28-05,6.1
01-31-05,5.7
12-31-04,6.7
11-30-04,9
10-31-04,9.9
09-30-04,8.1999999999999993
08-31-04,7.1
07-31-04,5.6
06-30-04,5.7
05-31-04,6.9
04-30-04,4.5999999999999996
03-31-04,1.1000000000000001
02-29-04,0.9
01-31-04,2.2000000000000002
12-31-03,2.4
11-30-03,2.2999999999999998
10-31-03,0.8
09-30-03,0.7
08-31-03,2
07-31-03,2.2999999999999998
06-30-03,2.2000000000000002
05-31-03,1
04-30-03,1.8
03-31-03,6.8
02-28-03,7.5
01-31-03,5.8
12-31-02,4.2
11-30-02,2.5
10-31-02,1.9
09-30-02,-0.4
08-31-02,-1.3
07-31-02,-1.7
06-30-02,-3.6
05-31-02,-3.7
04-30-02,-3.6
03-31-02,-5.6
02-28-02,-8.3000000000000007
01-31-02,-8.9
12-31-01,-9.1
11-30-01,-8.8000000000000007
10-31-01,-7.4
09-30-01,-5.6
08-31-01,-4.4000000000000004
07-31-01,-4.0999999999999996
06-30-01,-2.6
05-31-01,-0.8
04-30-01,-0.7
03-31-01,-1.6
02-28-01,0.2
01-31-01,2.8
12-31-00,3.2
11-30-00,4.7
10-31-00,5.4
09-30-00,6.1
08-31-00,5.9
07-31-00,6.8
06-30-00,7.9
05-31-00,6.1
04-30-00,6.6
03-31-00,9.1999999999999993
02-29-00,9.3000000000000007
01-31-00,7.1
12-31-99,7
11-30-99,5.3
10-31-99,4
09-30-99,3.9
08-31-99,3
07-31-99,1.6
06-30-99,-0.2
05-31-99,-0.6
04-30-99,-1.6
03-31-99,-2.8
02-28-99,-4
01-31-99,-4.8
