Date,Open,High,Low,Value
08-18-17,88.477000000000004,89.462000000000003,86.353999999999999,86.582999999999998
08-17-17,89.295000000000002,90.757999999999996,87.837000000000003,88.36
08-16-17,91.119,92.881,89.177000000000007,89.177000000000007
08-15-17,89.745000000000005,92.754999999999995,89.69,92.025000000000006
08-14-17,89.543999999999997,91.19,89.221000000000004,89.626000000000005
08-11-17,86.594999999999999,90.831000000000003,85.953999999999994,89.075999999999993
08-10-17,90.134,91.024000000000001,86.290999999999997,86.694000000000003
08-09-17,90.218000000000004,91.117000000000004,88.722999999999999,90.49
08-08-17,89.994,92.177000000000007,89.614999999999995,90.706999999999994
08-07-17,91.018000000000001,91.730999999999995,89.591999999999999,89.816000000000003
08-04-17,87.816999999999993,92,87.126999999999995,90.706000000000003
08-03-17,90.262,90.882000000000005,87.462000000000003,87.816999999999993
08-02-17,90.766999999999996,92.212999999999994,88.882999999999996,90.796000000000006
08-01-17,94.245999999999995,95.656000000000006,90.254999999999995,90.611000000000004
07-31-17,93.277000000000001,94.843000000000004,92.385999999999996,93.91
07-28-17,93.832999999999998,96.251000000000005,93.194999999999993,93.77
07-27-17,92.272999999999996,95.975999999999999,91.561000000000007,94.507000000000005
07-26-17,93.781000000000006,94.447000000000003,92.123999999999995,92.807000000000002
07-25-17,89.025999999999996,94.192999999999998,88.135999999999996,94.138999999999996
07-24-17,88.619,89.622,88.013999999999996,89.438000000000002
07-21-17,90.396000000000001,90.751000000000005,87.911000000000001,89.326999999999998
07-20-17,90.768000000000001,91.353999999999999,88.679000000000002,90.272999999999996
07-19-17,90.838999999999999,92.064999999999998,90.167000000000002,90.945999999999998
07-18-17,94.483000000000004,94.89,90.307000000000002,90.715000000000003
07-17-17,96.316000000000003,97.257999999999996,94.23,95.424000000000007
07-14-17,97.433000000000007,98.373999999999995,94.933999999999997,97.222999999999999
07-13-17,97.432000000000002,99.268000000000001,95.233000000000004,97.707999999999998
07-12-17,98.003,98.617000000000004,95.83,97.075000000000003
07-11-17,98.549000000000007,99.738,97.016000000000005,98.135000000000005
07-10-17,98.072999999999993,98.953000000000003,97.072000000000003,98.596000000000004
07-07-17,96.525000000000006,99.013999999999996,95.881,98.251999999999995
07-06-17,91.822000000000003,97.106999999999999,91.558000000000007,96.748000000000005
07-05-17,92.2,93.379000000000005,91.111000000000004,91.69
07-03-17,92.066999999999993,93.578999999999994,90.206000000000003,93.578999999999994
06-30-17,89.563000000000002,92.114999999999995,89.21,91.802000000000007
06-29-17,87.105999999999995,91.373000000000005,86.528999999999996,89.340999999999994
06-28-17,83.587999999999994,87.933000000000007,82.361000000000004,87.06
06-27-17,79.816999999999993,83.715999999999994,76.747,83.19
06-26-17,79.534000000000006,80.671999999999997,77.837999999999994,80.055999999999997
06-23-17,79.94,81.626999999999995,79.596999999999994,79.772000000000006
06-22-17,80.358000000000004,81.744,79.590999999999994,80.349999999999994
06-21-17,80.962000000000003,81.754000000000005,79.436000000000007,81.117000000000004
