Date,Value
08-16-17,
08-15-17,-25.8
08-14-17,-35.4
08-11-17,-36.6
08-10-17,-30
08-09-17,-29.7
08-08-17,-31.4
08-07-17,-39.1
08-04-17,-40.799999999999997
08-03-17,-44.1
08-02-17,-45.6
08-01-17,-44.8
07-31-17,-43.1
07-28-17,-44.5
07-27-17,-43.8
07-26-17,-44.4
07-25-17,-45.5
07-24-17,-47.4
07-21-17,-52.6
07-20-17,-53.2
07-19-17,-56.2
07-18-17,-65.2
07-17-17,-61.9
07-14-17,-68.099999999999994
07-13-17,-54.7
07-12-17,-56.6
07-11-17,-58.4
07-10-17,-55.5
07-07-17,-58.5
07-06-17,-63.4
07-05-17,-63.1
07-03-17,-63.3
06-30-17,-72.599999999999994
06-29-17,-73.599999999999994
06-28-17,-76.400000000000006
06-27-17,-77.5
06-26-17,-78.5
06-23-17,-74.599999999999994
06-22-17,-76.099999999999994
06-21-17,-76.5
06-20-17,-77.2
06-19-17,-77.5
06-16-17,-78.599999999999994
06-15-17,-61.7
06-14-17,-57.3
06-13-17,-45.1
06-12-17,-45.3
06-09-17,-43.4
06-08-17,-43.2
06-07-17,-42.4
06-06-17,-41.8
06-05-17,-44.7
06-02-17,-40.9
06-01-17,-36.1
05-31-17,-38.200000000000003
05-30-17,-37.5
05-26-17,-36.200000000000003
05-25-17,-38.1
05-24-17,-38.799999999999997
05-23-17,-38.9
05-22-17,-30.7
05-19-17,-33.4
05-18-17,-33.6
05-17-17,-37.5
05-16-17,-37.6
05-15-17,-32
05-12-17,-29.5
05-11-17,-19.2
05-10-17,-20
05-09-17,-19.5
05-08-17,-19.7
05-05-17,-18.2
05-04-17,-20.100000000000001
05-03-17,-19.5
05-02-17,-21.5
05-01-17,-20.6
04-28-17,-4.8
04-27-17,4.0999999999999996
04-26-17,7.1
04-25-17,7.3
04-24-17,0.8
04-21-17,2.8
04-20-17,6.3
04-19-17,6.4
04-18-17,6.6
04-17-17,10.5
04-13-17,38.200000000000003
04-12-17,36.700000000000003
04-11-17,36.4
04-10-17,35.6
04-07-17,38.799999999999997
04-06-17,47.3
04-05-17,45.7
04-04-17,43.7
04-03-17,44.5
03-31-17,48
03-30-17,51.6
03-29-17,52.5
03-28-17,53.1
03-27-17,52.5
03-24-17,54.1
03-23-17,55.7
03-22-17,54.4
03-21-17,55.2
03-20-17,55.9
03-17-17,56.1
03-16-17,57.6
03-15-17,57.9
03-14-17,46.4
03-13-17,47.5
03-10-17,48
03-09-17,44.8
03-08-17,45.8
03-07-17,38
03-06-17,38.200000000000003
03-03-17,36.799999999999997
03-02-17,35.4
03-01-17,32.6
02-28-17,34.700000000000003
02-27-17,37.1
02-24-17,44.9
02-23-17,45.7
02-22-17,47.4
02-21-17,47.8
02-17-17,53.1
02-16-17,53.6
02-15-17,44.6
02-14-17,36.1
02-13-17,37
02-10-17,40.799999999999997
02-09-17,42.4
