Date,Value
06-30-17,127.8
05-31-17,127
04-30-17,126.7
03-31-17,126.4
02-28-17,125.9
01-31-17,125.4
12-31-16,124.7
11-30-16,124.1
10-31-16,123.9
09-30-16,123.7
08-31-16,123.4
07-31-16,123.5
06-30-16,122.9
05-31-16,122.7
04-30-16,123
03-31-16,122.4
02-29-16,122.4
01-31-16,122.4
12-31-15,122.7
11-30-15,123.1
10-31-15,122.6
09-30-15,122
08-31-15,122.1
07-31-15,122.2
06-30-15,122.4
05-31-15,121.7
04-30-15,121.3
03-31-15,120.7
02-28-15,120.2
01-31-15,120.1
12-31-14,119.9
11-30-14,119
10-31-14,118.7
09-30-14,118.2
08-31-14,117.5
07-31-14,117.2
06-30-14,116.5
05-31-14,115.7
04-30-14,115
03-31-14,115
02-28-14,114
01-31-14,113.3
12-31-13,112.9
11-30-13,113
10-31-13,111.7
09-30-13,111.8
08-31-13,110.8
07-31-13,110.1
06-30-13,109.8
05-31-13,109.7
04-30-13,109.5
03-31-13,108.9
02-28-13,109.2
01-31-13,108.6
12-31-12,108
11-30-12,107.8
10-31-12,107.7
09-30-12,107.4
08-31-12,107
07-31-12,107.3
06-30-12,107.1
05-31-12,107.5
04-30-12,107.5
03-31-12,107.7
02-29-12,107.2
01-31-12,106.5
12-31-11,106.3
11-30-11,105.7
10-31-11,105.6
09-30-11,104.9
08-31-11,105.4
07-31-11,106.1
06-30-11,105.5
05-31-11,105.6
04-30-11,104.9
03-31-11,105
02-28-11,103.9
01-31-11,103
12-31-10,103.1
11-30-10,101.9
10-31-10,100.9
09-30-10,100.9
08-31-10,100.3
07-31-10,100
06-30-10,99.8
05-31-10,99.7
04-30-10,99.6
03-31-10,99.1
02-28-10,97.3
01-31-10,97.3
12-31-09,96.7
11-30-09,95.8
10-31-09,94.8
09-30-09,94.3
08-31-09,93.5
07-31-09,92.6
06-30-09,91.8
05-31-09,91.1
04-30-09,90.8
03-31-09,90.6
02-28-09,92.1
01-31-09,93.5
12-31-08,95.4
11-30-08,98.3
10-31-08,101.3
09-30-08,104.8
08-31-08,107.3
07-31-08,108.5
06-30-08,111.2
05-31-08,111.7
04-30-08,112.7
03-31-08,113.3
02-29-08,115.2
01-31-08,116.5
12-31-07,117.8
11-30-07,119.1
10-31-07,120.2
09-30-07,120.8
08-31-07,121.7
07-31-07,122.5
06-30-07,122.6
05-31-07,122.9
04-30-07,122.9
03-31-07,123.2
02-28-07,122.8
01-31-07,123
12-31-06,123.4
11-30-06,122.9
10-31-06,123.2
09-30-06,123.4
08-31-06,123.5
07-31-06,123.8
06-30-06,124.4
05-31-06,124.5
04-30-06,125.2
03-31-06,125.9
02-28-06,125.6
01-31-06,125.6
12-31-05,124.6
11-30-05,124.6
10-31-05,123.8
09-30-05,123.4
08-31-05,124.2
07-31-05,123.3
06-30-05,123.3
05-31-05,122.4
04-30-05,122.6
03-31-05,122
02-28-05,122.5
01-31-05,121.8
12-31-04,121.3
11-30-04,120.1
10-31-04,119.2
09-30-04,119
08-31-04,118.1
07-31-04,117.6
06-30-04,116.9
05-31-04,116.4
04-30-04,115.3
03-31-04,115.1
02-29-04,113.5
01-31-04,112.5
12-31-03,111.5
11-30-03,110.4
10-31-03,109.3
09-30-03,108.1
08-31-03,106.9
07-31-03,106.1
06-30-03,105.7
05-31-03,104.9
04-30-03,103.8
03-31-03,104.1
02-28-03,104.2
01-31-03,104.6
12-31-02,104.3
11-30-02,104.3
10-31-02,103.7
09-30-02,103.8
08-31-02,104.2
07-31-02,104
06-30-02,104.4
05-31-02,104.2
04-30-02,103.2
03-31-02,102.5
02-28-02,102.1
01-31-02,101.1
12-31-01,101.1
11-30-01,100.4
10-31-01,99.7
09-30-01,100.4
08-31-01,102.3
07-31-01,102.5
06-30-01,102.7
05-31-01,103.3
04-30-01,102.9
03-31-01,104
02-28-01,105.5
01-31-01,106.8
12-31-00,107.4
11-30-00,109
10-31-00,109.9
09-30-00,111
08-31-00,110.6
07-31-00,111.3
06-30-00,111.8
05-31-00,111.5
04-30-00,112.7
03-31-00,112.5
02-29-00,111.4
01-31-00,112.1
12-31-99,111.5
11-30-99,110.5
10-31-99,109.9
09-30-99,109.4
08-31-99,109.5
07-31-99,109.2
06-30-99,108.8
05-31-99,108.4
04-30-99,107.9
03-31-99,107.8
02-28-99,107.7
01-31-99,107.1
