Date,Open,High,Low,Value
08-16-17,9382.4599999999991,9447.61,9380.1299999999992,9416.69
08-15-17,9351.51,9385.0499999999993,9337.2199999999993,9371.07
08-14-17,9237.39,9362.69,9236.02,9347.5499999999993
08-11-17,9121.75,9248.51,9117.17,9199.0499999999993
08-10-17,9214.9500000000007,9218.11,9118.51,9119.74
08-09-17,9211.41,9239.2999999999993,9179.85,9235.41
08-08-17,9256.73,9328.85,9209.52,9232.85
08-07-17,9284.6299999999992,9294.1299999999992,9260.1299999999992,9284.66
08-04-17,9214.2800000000007,9289.92,9188.26,9277.6299999999992
08-03-17,9169.26,9212.9699999999993,9161.69,9202.4
08-02-17,9143.6200000000008,9177.27,9111.4500000000007,9174.99
08-01-17,9199.84,9242.7999999999993,9124.5499999999993,9145.75
07-31-17,9236.94,9255.61,9179.2800000000007,9182.7800000000007
07-28-17,9179.2900000000009,9236.36,9165.4699999999993,9227.07
07-27-17,9421.26,9421.26,9147.2999999999993,9189.61
07-26-17,9499.7800000000007,9527.43,9413.34,9484.1200000000008
07-25-17,9472.9699999999993,9543.64,9471.65,9489.48
07-24-17,9466.4599999999991,9482.91,9426.07,9428.2000000000007
07-21-17,9438.02,9485.92,9408.2199999999993,9471.27
07-20-17,9547.2000000000007,9565.43,9451.75,9483.09
07-19-17,9612.07,9612.07,9535.7999999999993,9575.73
07-18-17,9686.84,9694.49,9627.91,9633.0499999999993
07-17-17,9699.39,9725.65,9641.92,9698.2000000000007
07-14-17,9709.7999999999993,9763.66,9687.1200000000008,9742.76
07-13-17,9710.5300000000007,9742.76,9690.2199999999993,9703.23
07-12-17,9647.02,9727.6200000000008,9647.02,9716.32
07-11-17,9673.76,9673.76,9555.9699999999993,9599.43
07-10-17,9677.7000000000007,9716.81,9656.2800000000007,9673.7999999999993
07-07-17,9591.15,9704.52,9591.15,9694.94
07-06-17,9608.2000000000007,9638.02,9560.8700000000008,9576.16
07-05-17,9644.2000000000007,9683.16,9603.49,9645.91
07-03-17,9601.44,9681.8799999999992,9598.8799999999992,9639.6299999999992
06-30-17,9514.8799999999992,9606.16,9507.7900000000009,9563.73
06-29-17,9528.89,9540.6,9439.0300000000007,9481.44
06-28-17,9438.98,9542.48,9438.98,9517.44
06-27-17,9432.83,9465.2099999999991,9383.67,9383.67
06-26-17,9409.68,9493.75,9409.68,9442.0300000000007
06-23-17,9318.32,9422.86,9305.5499999999993,9388.67
06-22-17,9299.3700000000008,9338.65,9256.07,9319.84
06-21-17,9313.5,9321.41,9264.0499999999993,9292.61
06-20-17,9468.65,9468.65,9303.82,9303.82
06-19-17,9427.9599999999991,9482.42,9407.8799999999992,9476.6299999999992
06-16-17,9406.52,9420.4,9368.67,9414.07
06-15-17,9347.5499999999993,9412.69,9316.43,9409.01
06-14-17,9474.07,9481.01,9353.1,9387.33
06-13-17,9399.82,9462.76,9394.73,9456.65
06-12-17,9322.76,9393.76,9283.98,9388.7900000000009
06-09-17,9337.75,9370.52,9266.61,9327.8799999999992
06-08-17,9338.23,9368.36,9297.2900000000009,9332.14
06-07-17,9270.7999999999993,9354.07,9225.06,9334.58
06-06-17,9281.52,9311.89,9253.6200000000008,9274.4
06-05-17,9325.08,9352.02,9290.65,9307.17
06-02-17,9302.69,9406.24,9295.7000000000007,9331.7199999999993
06-01-17,9188.4500000000007,9284.33,9171.84,9277.44
05-31-17,9172.61,9184.52,9087.9500000000007,9163.9
05-30-17,9155.59,9200.2800000000007,9116.2099999999991,9163.66
05-26-17,9148.5499999999993,9192.0300000000007,9140.91,9176.2000000000007
05-25-17,9049.02,9175.57,9039.41,9163.84
05-24-17,9017.7099999999991,9047.8700000000008,9000.84,9022.52
05-23-17,8975.3700000000008,9021.2999999999993,8932.7900000000009,9009.67
05-22-17,8898.32,8974.25,8898.32,8964.65
05-19-17,8827.9599999999991,8935.83,8822.2999999999993,8879.19
05-18-17,8774.48,8892.4500000000007,8744.36,8818.58
05-17-17,9004.73,9004.73,8775.31,8783.74
05-16-17,9077.2199999999993,9082.77,9017.98,9062.85
05-15-17,9012.23,9098.9699999999993,9009.74,9067.23
05-12-17,9010.9500000000007,9044.6200000000008,8980.01,9001.14
05-11-17,9052.3700000000008,9058.33,8952.7800000000007,9037.99
05-10-17,9126.56,9130.9599999999991,9053.18,9072.35
05-09-17,9095.25,9154.9500000000007,9095.25,9130.2800000000007
05-08-17,9186.7099999999991,9196.4599999999991,9079.44,9092.81
05-05-17,9148.5499999999993,9190.76,9127.9699999999993,9189.9699999999993
05-04-17,9140.08,9196.81,9089.7099999999991,9138.1299999999992
05-03-17,9149.4,9149.4,9081.11,9133.14
05-02-17,9076,9157.9599999999991,9075.09,9153.9699999999993
05-01-17,9113.9500000000007,9131.43,9062.27,9070.15
04-28-17,9203.01,9211.24,9077.34,9097.6299999999992
04-27-17,9129.1200000000008,9227.86,9123.15,9193.99
04-26-17,9225.61,9275.35,9166.64,9167.74
04-25-17,9258.3799999999992,9318.2000000000007,9247.7800000000007,9249.42
04-24-17,9235.4699999999993,9301.7199999999993,9234.6200000000008,9282.99
04-21-17,9142.0300000000007,9157.86,9085.9699999999993,9133.81
04-20-17,9041.2900000000009,9144.9699999999993,9033.43,9126.1299999999992
04-19-17,8973.1200000000008,9043.67,8962.68,8976.35
04-18-17,8968.49,8991.82,8903.25,8933.1
04-17-17,8888.33,8990.66,8876.8799999999992,8990.42
04-13-17,8961.24,8985.1200000000008,8874.11,8874.56
04-12-17,9155.43,9163.9,8968.7999999999993,8971.84
04-11-17,9142.52,9142.52,9031.83,9135.58
04-10-17,9112.85,9218.2999999999993,9112.85,9178.7000000000007
04-07-17,9123.2099999999991,9139.69,9075.76,9104.81
04-06-17,9089.34,9165.18,9076.4500000000007,9134.17
04-05-17,9123.15,9210.93,9087.4599999999991,9095.98
04-04-17,9073.9599999999991,9104.11,9052.4599999999991,9100.67
04-03-17,9122.91,9167.07,9048.23,9086.24
03-31-17,9132.59,9157.4699999999993,9114.42,9116.51
03-30-17,9072.77,9165.99,9072.1,9151.6
03-29-17,9068.02,9115.64,9052.02,9075.39
03-28-17,8926.58,9133.23,8923.9,9096.83
03-27-17,8855.6200000000008,8957.0300000000007,8798.27,8935.11
03-24-17,8949.5499999999993,8992.81,8890.3700000000008,8928.7800000000007
03-23-17,8984.2099999999991,9038.33,8928.2900000000009,8936.15
03-22-17,8951.5300000000007,8993.26,8903.74,8987.19
03-21-17,9123.8799999999992,9133.32,8921,8930.66
03-20-17,9157.69,9167.84,9097.85,9101.0400000000009
03-17-17,9190.4599999999991,9196.7900000000009,9129.5400000000009,9145.5
03-16-17,9223.9,9239.91,9163.8700000000008,9181.08
03-15-17,9103.7800000000007,9269.56,9081.76,9229.32
03-14-17,9231.2099999999991,9231.2099999999991,9097.98,9123.06
03-13-17,9285.2999999999993,9309.25,9229.33,9251.68
03-10-17,9208.3700000000008,9296.2000000000007,9208.3700000000008,9289.81
03-09-17,9270.56,9307.23,9179.19,9208.64
03-08-17,9323.31,9332.0499999999993,9259.89,9271.4699999999993
03-07-17,9405.36,9415.85,9305.52,9317.0400000000009
03-06-17,9446.23,9447.25,9362.65,9420.2800000000007
03-03-17,9452.6200000000008,9495.3700000000008,9400.83,9491.61
03-02-17,9569.52,9569.52,9433.56,9439.4699999999993
03-01-17,9481.25,9639.33,9481.25,9593.9500000000007
02-28-17,9479.3700000000008,9494.49,9409.9599999999991,9419.86
02-27-17,9414.68,9476.7099999999991,9370.2099999999991,9474.44
02-24-17,9288.77,9421.9500000000007,9262.91,9421.8700000000008
02-23-17,9465.9699999999993,9484.7199999999993,9321.67,9335.7999999999993
02-22-17,9497.06,9497.06,9407.09,9448.5499999999993
02-21-17,9496.06,9541.0300000000007,9484.7199999999993,9531.75
02-17-17,9444.2800000000007,9495.57,9408.2199999999993,9495.39
02-16-17,9521.7900000000009,9524.18,9420.09,9474.98
02-15-17,9457.93,9566.1,9451.2900000000009,9554.35
02-14-17,9461.6200000000008,9471.1200000000008,9405.56,9444.2199999999993
02-13-17,9412.24,9499.18,9409.75,9475.7800000000007
02-10-17,9360.44,9411.18,9349.65,9393.7900000000009
02-09-17,9253.56,9371.98,9250.9599999999991,9331.17
02-08-17,9210.1299999999992,9251.7199999999993,9158.7800000000007,9245.89
02-07-17,9244.18,9276.7800000000007,9197.4500000000007,9213.36
02-06-17,9241.6299999999992,9311.77,9203.1299999999992,9231.82
02-03-17,9119.68,9249.7800000000007,9119.68,9241.56
02-02-17,9126.32,9162.6200000000008,9047.4,9103.2900000000009
02-01-17,9173.43,9236.7099999999991,9096.19,9171.39
01-31-17,9277.32,9277.32,9137.0499999999993,9191.98
01-30-17,9368.2900000000009,9368.5400000000009,9216.2900000000009,9329.34
01-27-17,9480.68,9480.68,9392.23,9444.2800000000007
01-26-17,9411.76,9502.5,9403.5,9468.77
01-25-17,9323.49,9428.7800000000007,9318.07,9421.01
01-24-17,9154.4,9314.1299999999992,9147.7000000000007,9288.59
01-23-17,9215.86,9219.44,9091.17,9138.19
01-20-17,9165.91,9227.81,9135.1200000000008,9224.57
01-19-17,9231.18,9265.19,9122.0400000000009,9163.9599999999991
01-18-17,9058.82,9147.5400000000009,9034.1200000000008,9140.8700000000008
01-17-17,9169.32,9188.9599999999991,9079.57,9099.58
01-13-17,9153.18,9221.9500000000007,9152.02,9202.34
01-12-17,9173.7099999999991,9174,9046.52,9144.4699999999993
01-11-17,9124.9500000000007,9195.2800000000007,9107.31,9186.32
01-10-17,9035.74,9144.4,9025.08,9095.07
01-09-17,9091.17,9091.17,9003.0400000000009,9022.83
01-06-17,9052.1200000000008,9145.85,9014.18,9104.08
01-05-17,9096.83,9145.7199999999993,9016.01,9051.76
