Date,Value,Value
08-21-17,1353.74,1341.172
08-18-17,1357.7929999999999,1342.682
08-17-17,1358.94,1345.1389999999999
08-16-17,1383.5340000000001,1366.2090000000001
08-15-17,1383.2370000000001,1363.91
08-14-17,1394.309,1364.944
08-11-17,1374.231,1351.327
08-10-17,1372.5440000000001,1349.2539999999999
08-09-17,1396.9480000000001,1369.307
08-08-17,1410.1510000000001,1370.422
08-07-17,1414.1669999999999,1373.846
08-04-17,1412.3209999999999,1371.759
08-03-17,1405.229,1368.8989999999999
08-02-17,1412.903,1371.732
08-01-17,1428.33,1371.89
07-31-17,1425.144,1368.5709999999999
07-28-17,1429.26,1369.578
07-27-17,1433.624,1371.5039999999999
07-26-17,1442.279,1373.53
07-25-17,1450.3869999999999,1373.5530000000001
07-24-17,1438.0550000000001,1369.2380000000001
07-21-17,1435.8389999999999,1370.124
07-20-17,1442.354,1370.713
07-19-17,1441.771,1371.001
07-18-17,1427.614,1363.229
07-17-17,1431.6020000000001,1362.643
07-14-17,1428.817,1362.614
07-13-17,1425.6610000000001,1356.4110000000001
07-12-17,1424.3209999999999,1353.933
07-11-17,1413.0540000000001,1344.1179999999999
07-10-17,1408.4749999999999,1344.672
07-07-17,1415.835,1343.7750000000001
07-06-17,1400.8150000000001,1334.8779999999999
07-05-17,1420.1469999999999,1348.1780000000001
07-03-17,1426.682,1346.8589999999999
06-30-17,1415.3589999999999,1343.5160000000001
06-29-17,1416.1990000000001,1341.3579999999999
06-28-17,1425.269,1353.0139999999999
06-27-17,1403.5219999999999,1341.027
06-26-17,1416.64,1352.2239999999999
06-23-17,1414.778,1351.3879999999999
06-22-17,1404.538,1348.682
06-21-17,1399.2550000000001,1348.9939999999999
06-20-17,1402.9680000000001,1350.0630000000001
06-19-17,1418.0809999999999,1359.499
06-16-17,1406.7280000000001,1348.2660000000001
06-15-17,1410.0840000000001,1348.1020000000001
06-14-17,1417.5730000000001,1351.3589999999999
06-13-17,1425.9849999999999,1352.9880000000001
06-12-17,1419.211,1346.4110000000001
06-09-17,1421.7070000000001,1347.5119999999999
06-08-17,1415.6120000000001,1348.69
06-07-17,1396.674,1347.98
06-06-17,1394.8989999999999,1346.124
06-05-17,1396.451,1350.0029999999999
06-02-17,1405.3869999999999,1352.095
06-01-17,1396.06,1347.277
05-31-17,1370.2080000000001,1336.1849999999999
05-30-17,1371.193,1336.5219999999999
05-26-17,1382.2439999999999,1338.569
05-25-17,1383.3879999999999,1338.248
05-24-17,1382.509,1332.6780000000001
05-23-17,1380.982,1329.2339999999999
05-22-17,1377.1389999999999,1326.9849999999999
05-19-17,1367.33,1320.021
05-18-17,1361.077,1310.8309999999999
05-17-17,1355.8889999999999,1306.1179999999999
05-16-17,1394.683,1330.2809999999999
05-15-17,1393.923,1331.319
05-12-17,1382.77,1324.7349999999999
05-11-17,1390.1959999999999,1326.9280000000001
05-10-17,1399.5889999999999,1330.2170000000001
05-09-17,1391.864,1328.4649999999999
05-08-17,1391.6389999999999,1329.6769999999999
05-05-17,1396.9949999999999,1330.232
05-04-17,1388.846,1324.047
05-03-17,1390.922,1323.8589999999999
05-02-17,1399.3620000000001,1326.2439999999999
05-01-17,1407.3620000000001,1324.9949999999999
04-28-17,1400.4280000000001,1322.4380000000001
04-27-17,1417.127,1325.72
04-26-17,1419.431,1324.8309999999999
04-25-17,1411.077,1325.202
04-24-17,1397.942,1317.1859999999999
04-21-17,1379.854,1303.2449999999999
04-20-17,1384.15,1307.1379999999999
04-19-17,1367.133,1297.296
04-18-17,1361.894,1299.085
04-17-17,1361.18,1302.558
04-13-17,1345.2439999999999,1291.2650000000001
04-12-17,1359.1990000000001,1300.213
04-11-17,1376.9459999999999,1305.712
04-10-17,1367.085,1307.0350000000001
04-07-17,1364.5630000000001,1305.798
04-06-17,1364.4259999999999,1306.8489999999999
04-05-17,1352.143,1303.5719999999999
04-04-17,1368.175,1308.1379999999999
04-03-17,1369.6679999999999,1307.4480000000001
03-31-17,1385.92,1310.0640000000001
03-30-17,1382.345,1312.6120000000001
03-29-17,1371.645,1308.7470000000001
03-28-17,1367.261,1307.1110000000001
03-27-17,1357.3209999999999,1297.6079999999999
03-24-17,1354.6420000000001,1298.807
03-23-17,1353.425,1299.7529999999999
03-22-17,1345.598,1300.7819999999999
03-21-17,1346.546,1298.3679999999999
03-20-17,1384.096,1315.6010000000001
03-17-17,1391.5239999999999,1318.61
03-16-17,1386.029,1320.0440000000001
03-15-17,1382.83,1321.8979999999999
03-14-17,1362.3789999999999,1310.48
03-13-17,1370.2850000000001,1314.9780000000001
03-10-17,1365.2650000000001,1314.26
03-09-17,1360.1189999999999,1309.932
03-08-17,1366.039,1309.4390000000001
03-07-17,1374.876,1312.703
03-06-17,1384.2449999999999,1316.9069999999999
03-03-17,1394.127,1321.6130000000001
03-02-17,1395.6679999999999,1320.693
03-01-17,1413.635,1328.9680000000001
02-28-17,1386.684,1311.3440000000001
02-27-17,1407.97,1315.49
02-24-17,1394.5250000000001,1313.5360000000001
02-23-17,1394.623,1311.556
02-22-17,1403.855,1311.7360000000001
02-21-17,1410.3440000000001,1313.4829999999999
02-17-17,1399.8620000000001,1305.4590000000001
02-16-17,1399.133,1303.2349999999999
02-15-17,1404.2070000000001,1304.501
02-14-17,1396.6510000000001,1298.21
02-13-17,1392.3779999999999,1293.114
02-10-17,1388.8440000000001,1286.617
02-09-17,1378.5260000000001,1282.0350000000001
02-08-17,1358.7370000000001,1274.3510000000001
02-07-17,1361.0609999999999,1273.3409999999999
02-06-17,1366.66,1273.3510000000001
02-03-17,1377.837,1276.0550000000001
02-02-17,1357.432,1266.4190000000001
02-01-17,1361.2280000000001,1265.4580000000001
01-31-17,1361.8240000000001,1265.3510000000001
01-30-17,1352.3330000000001,1265.825
01-27-17,1370.704,1273.78
01-26-17,1375.595,1275.296
01-25-17,1382.4369999999999,1276.3979999999999
01-24-17,1369.21,1266.4449999999999
01-23-17,1347.836,1257.4590000000001
01-20-17,1351.848,1260.6990000000001
01-19-17,1345.7439999999999,1256.5989999999999
01-18-17,1358.556,1261.269
01-17-17,1352.3240000000001,1258.6500000000001
01-13-17,1372.047,1262.9480000000001
01-12-17,1361.066,1260.175
