Date,Value
06-30-17,2
05-31-17,2.4
04-30-17,2.5
03-31-17,2.2000000000000002
02-28-17,2
01-31-17,1.7
12-31-16,1.7
11-30-16,1.3
10-31-16,1.1000000000000001
09-30-16,0.6
08-31-16,0
07-31-16,0
06-30-16,0.2
05-31-16,0
04-30-16,0.2
03-31-16,-0.1
02-29-16,0.1
01-31-16,0
12-31-15,-1.1000000000000001
11-30-15,-1.3
10-31-15,-1.4
09-30-15,-1.1000000000000001
08-31-15,-1
07-31-15,-0.7
06-30-15,-0.5
05-31-15,-0.8
04-30-15,-1.1000000000000001
03-31-15,-0.9
02-28-15,-0.5
01-31-15,0
12-31-14,0.9
11-30-14,1.3
10-31-14,1.5
09-30-14,1.6
08-31-14,1.9
07-31-14,1.9
06-30-14,1.8
05-31-14,2.1
04-30-14,1.8
03-31-14,1.6
02-28-14,1.2
01-31-14,1.3
12-31-13,1.2
11-30-13,1.1000000000000001
10-31-13,1.3
09-30-13,1.1000000000000001
08-31-13,1.7
07-31-13,2
06-30-13,1.7
05-31-13,0.9
04-30-13,0.9
03-31-13,1.3
02-28-13,1.6
01-31-13,1.6
12-31-12,1.9
11-30-12,1.7
10-31-12,1.9
09-30-12,1.5
08-31-12,1.2
07-31-12,1
06-30-12,1.3
05-31-12,1.6
04-30-12,2
03-31-12,2.4
02-29-12,2.8
01-31-12,3.1
12-31-11,3.2
11-30-11,3.7
10-31-11,3.7
09-30-11,4.5
08-31-11,4.4000000000000004
07-31-11,4.5
06-30-11,4.3
05-31-11,4.2
04-30-11,4.2
03-31-11,4
02-28-11,3.3
01-31-11,2.4
12-31-10,2.8
11-30-10,2.6
