Date,Value
06-30-17,409005
05-31-17,404568
04-30-17,386218
03-31-17,412355
02-28-17,364023
01-31-17,362475
12-31-16,375926
11-30-16,366444
10-31-16,378885
09-30-16,385424
08-31-16,385305
07-31-16,359769
06-30-16,390973
05-31-16,377785
04-30-16,367811
03-31-16,388480
02-29-16,351631
01-31-16,336838
12-31-15,360992
11-30-15,353756
10-31-15,379954
09-30-15,387250
08-31-15,382194
07-31-15,378860
06-30-15,406453
05-31-15,386103
04-30-15,387418
03-31-15,400854
02-28-15,358267
01-31-15,357288
12-31-14,384098
11-30-14,378920
10-31-14,415528
09-30-14,427184
08-31-14,420312
07-31-14,412171
06-30-14,433457
05-31-14,426140
04-30-14,420641
03-31-14,431743
02-28-14,388393
01-31-14,390666
12-31-13,399286
11-30-13,393255
10-31-13,418184
09-30-13,414882
08-31-13,418444
07-31-13,407488
06-30-13,414266
05-31-13,424074
04-30-13,409902
03-31-13,419907
02-28-13,388281
01-31-13,390544
12-31-12,389171
11-30-12,392553
10-31-12,416521
09-30-12,406031
08-31-12,413381
07-31-12,390417
06-30-12,406304
05-31-12,419852
04-30-12,408622
03-31-12,433809
02-29-12,397242
01-31-12,381090
12-31-11,398000
11-30-11,392063
10-31-11,404916
09-30-11,413627
08-31-11,415801
07-31-11,393894
06-30-11,418558
05-31-11,409263
04-30-11,398199
03-31-11,420007
02-28-11,356382
01-31-11,356390
12-31-10,372500
11-30-10,359041
10-31-10,359403
09-30-10,370541
08-31-10,364435
07-31-10,347300
06-30-10,369958
05-31-10,357436
04-30-10,354920
03-31-10,373074
02-28-10,317441
01-31-10,311656
12-31-09,328793
11-30-09,317437
10-31-09,332616
09-30-09,333903
08-31-09,322909
07-31-09,314220
06-30-09,331192
05-31-09,307564
04-30-09,299454
03-31-09,314307
02-28-09,288023
01-31-09,285600
12-31-08,314578
11-30-08,325264
10-31-08,379215
09-30-08,403776
08-31-08,418092
07-31-08,425773
06-30-08,442910
05-31-08,427865
04-30-08,416388
03-31-08,413889
02-29-08,380142
01-31-08,378326
12-31-07,384981
11-30-07,384743
10-31-07,399732
09-30-07,385124
08-31-07,391768
07-31-07,370603
06-30-07,390164
05-31-07,388946
04-30-07,369125
03-31-07,384306
02-28-07,339196
01-31-07,337290
12-31-06,353251
11-30-06,345613
10-31-06,359666
09-30-06,364338
08-31-06,374055
07-31-06,351336
06-30-06,381447
05-31-06,373429
04-30-06,348432
03-31-06,376003
02-28-06,329501
01-31-06,332631
12-31-05,341200
11-30-05,339818
10-31-05,349569
09-30-05,356749
08-31-05,352433
07-31-05,316323
06-30-05,349441
05-31-05,332146
04-30-05,324328
03-31-05,344119
02-28-05,305596
01-31-05,297055
12-31-04,313145
11-30-04,308991
10-31-04,314871
09-30-04,317186
08-31-04,308471
07-31-04,288103
06-30-04,312285
05-31-04,297700
04-30-04,292437
03-31-04,314181
02-29-04,274892
01-31-04,264744
12-31-03,281969
11-30-03,272168
10-31-03,293012
09-30-03,291534
08-31-03,278190
07-31-03,266760
06-30-03,284082
05-31-03,272054
04-30-03,265698
03-31-03,286347
02-28-03,261456
01-31-03,253700
12-31-02,263945
11-30-02,262554
10-31-02,276995
09-30-02,279439
08-31-02,270230
07-31-02,255007
06-30-02,275948
05-31-02,274157
04-30-02,265138
03-31-02,272472
02-28-02,250238
01-31-02,242680
12-31-01,260700
11-30-01,259099
10-31-01,270063
09-30-01,274626
08-31-01,277967
07-31-01,256148
06-30-01,285955
05-31-01,282327
04-30-01,266271
03-31-01,292530
02-28-01,276569
01-31-01,267932
12-31-00,285542
11-30-00,285837
10-31-00,295535
09-30-00,310639
08-31-00,293621
07-31-00,273967
06-30-00,316463
05-31-00,291946
04-30-00,286276
03-31-00,309747
02-29-00,283329
01-31-00,265244
12-31-99,285481
11-30-99,279369
10-31-99,285580
09-30-99,297227
08-31-99,277294
07-31-99,259016
06-30-99,289277
05-31-99,267035
04-30-99,266141
03-31-99,285177
02-28-99,264056
01-31-99,241374
