Date,Value
07-31-17,54.6
06-30-17,56.1
05-31-17,53.6
04-30-17,55.8
03-31-17,54.3
02-28-17,55.4
01-31-17,54
12-31-16,54.1
11-30-16,52.9
10-31-16,53.5
09-30-16,53.7
08-31-16,52
07-31-16,53.5
06-30-16,52.7
05-31-16,53.8
04-30-16,54.6
03-31-16,54.3
02-29-16,53.5
01-31-16,53.5
12-31-15,52.8
11-30-15,52.6
10-31-15,53.9
09-30-15,52.9
08-31-15,54.2
07-31-15,56
06-30-15,53.4
05-31-15,54.1
04-30-15,53.9
03-31-15,53.4
02-28-15,54.1
01-31-15,55.1
12-31-14,54.9
11-30-14,55.8
10-31-14,57
09-30-14,54.9
08-31-14,56.8
07-31-14,56.8
06-30-14,56.1
05-31-14,56.8
04-30-14,56
03-31-14,55.5
02-28-14,55.6
01-31-14,57.3
12-31-13,55.6
11-30-13,57.1
10-31-13,56.7
09-30-13,56.6
08-31-13,56.4
07-31-13,55.5
06-30-13,56.1
05-31-13,55.6
04-30-13,53.3
03-31-13,54.2
02-28-13,54.9
01-31-13,54.6
12-31-12,54.9
11-30-12,55.2
10-31-12,54.4
09-30-12,55.3
08-31-12,55.8
07-31-12,53.4
06-30-12,54.5
05-31-12,54.6
04-30-12,55.1
03-31-12,56.2
02-29-12,55.8
01-31-12,54.8
12-31-11,54.4
11-30-11,53.5
10-31-11,53.7
09-30-11,53.8
08-31-11,52.7
07-31-11,54.6
06-30-11,54.2
05-31-11,54.2
04-30-11,55.8
03-31-11,55.7
02-28-11,56.4
01-31-11,56.4
12-31-10,55.8
11-30-10,55
10-31-10,54.9
09-30-10,53.8
08-31-10,53.3
07-31-10,53
06-30-10,54.1
05-31-10,55.9
04-30-10,56.5
03-31-10,55.7
02-28-10,55.2
01-31-10,55.1
12-31-09,52.9
11-30-09,52.3
10-31-09,51
09-30-09,49.8
08-31-09,48.1
07-31-09,48
06-30-09,46.6
05-31-09,45.4
04-30-09,44.3
03-31-09,43
02-28-09,42.5
01-31-09,40
12-31-08,40.1
11-30-08,42.2
10-31-08,44.8
09-30-08,47.4
08-31-08,50.7
07-31-08,50.9
06-30-08,50.1
05-31-08,52
04-30-08,50.1
03-31-08,49.9
02-29-08,51.4
01-31-08,51.4
12-31-07,52.4
11-30-07,53.1
10-31-07,53.8
09-30-07,54.8
08-31-07,55.1
07-31-07,55
06-30-07,56.4
05-31-07,56.1
04-30-07,55.4
03-31-07,54.5
02-28-07,55.5
01-31-07,56.4
12-31-06,54.7
11-30-06,55.2
10-31-06,55.3
09-30-06,57.1
08-31-06,57.3
07-31-06,57.6
06-30-06,57.2
05-31-06,54.9
04-30-06,57.5
03-31-06,58.1
02-28-06,57.3
01-31-06,57.2
12-31-05,58.3
11-30-05,57.7
10-31-05,57.1
09-30-05,56.5
08-31-05,54.8
07-31-05,56.3
06-30-05,56.4
05-31-05,55.7
04-30-05,56
03-31-05,58.4
02-28-05,55.6
01-31-05,52.7
12-31-04,55
11-30-04,56.2
10-31-04,56.2
09-30-04,56
08-31-04,59
07-31-04,59.2
06-30-04,60.1
05-31-04,60.2
04-30-04,62.6
03-31-04,60.5
02-29-04,56.5
01-31-04,55.3
12-31-03,54.2
11-30-03,58
10-31-03,57.9
09-30-03,57
08-31-03,55.8
07-31-03,55.4
06-30-03,56.1
05-31-03,56.9
04-30-03,57.3
03-31-03,56.2
02-28-03,51.3
01-31-03,50.5
12-31-02,50.3
11-30-02,53.7
10-31-02,53
09-30-02,55.1
08-31-02,52.8
07-31-02,53.2
06-30-02,57.6
05-31-02,58.4
04-30-02,58.7
03-31-02,55.8
